rx,ry,rz
-33.241674,-45.085301,106.17982
-23.31812,-33.666133,113.85372
-82.164375,-76.389742,-14.559232
18.833707,97.429834,60.245408
-41.642503,29.742344,100.37047
16.770077,71.821407,73.408317
-61.918242,-38.774407,27.792826
-8.7270196,-69.023448,26.85435
-82.251944,30.174827,-40.76289
-30.91877,17.652002,70.55946
-109.14121,-5.2896805,-42.186683
-61.874914,-43.90707,-85.765134
-31.520924,28.349408,-100.93946
51.158217,76.551689,23.483597
-52.226096,5.3285781,105.27783
82.090695,11.210791,90.849411
-5.3839566,-31.678078,117.22332
-31.112872,4.5913961,-66.759734
50.643642,43.364935,94.38357
75.121923,-1.5008212,101.47421
-60.042141,-68.662168,9.0498933
-6.4339734,-39.221057,119.60606
-29.173426,34.183423,91.764654
40.557396,25.698459,110.80688
21.601707,18.711484,115.88979
-47.622801,31.362911,97.823894
13.825614,-67.247265,88.155109
102.24608,-4.113355,62.431532
108.79259,40.690068,47.659111
77.10441,3.6503181,57.896316
-26.864078,-103.24097,22.490241
21.703166,-90.757803,80.829
17.533715,50.228315,115.58853
-28.173633,46.086949,97.668148
28.484215,-4.3927851,93.54199
-18.171878,-32.463232,112.50629
-39.103498,28.344978,95.952382
-6.2625937,-31.373848,116.23985
-25.428597,-10.143306,64.687664
17.155244,24.248885,89.580697
-81.012359,23.296872,80.177367
22.344702,18.250139,117.03806
-54.851318,-38.814504,48.876189
-4.3467129,46.157946,13.562813
17.71471,4.6269278,120.07618
1.9758138,45.118339,109.913
-50.308113,49.954853,52.078614
-16.973659,-2.5763503,122.00111
28.47908,54.080207,89.584468
13.333607,48.693851,114.69611
0.71912791,43.857983,109.03188
-1.782812,-46.547442,101.89287
-78.256574,-4.0440001,12.872868
9.9137301,20.602593,112.14847
1.4088775,44.362607,110.44599
-65.895506,7.9366287,8.4981731
-2.9322852,-35.800541,94.418766
50.927561,-76.425861,-7.8728415
-1.3326187,-34.538253,87.720094
-72.031009,-29.939795,44.394036
1.9132509,-2.7971479,117.45536
43.369669,-49.653028,92.202177
-3.5059225,-69.909207,8.219736
23.504261,31.094973,110.71094
-6.2906875,-31.672884,115.57306
52.215009,-102.56706,63.352637
-74.415501,35.884841,0.85033687
-6.3860857,-40.215628,119.64149
22.426372,122.7449,-29.897829
-92.023264,-6.6128912,-83.030923
105.11444,-3.1483232,62.999606
-26.934851,-16.211768,46.664121
90.052644,35.50705,42.426045
77.650568,-71.852715,-21.926827
-7.5839049,14.639759,65.757152
-63.461439,-13.63521,-70.93363
37.470545,-35.978708,93.948602
-17.97544,-2.8313374,120.39683
54.755869,5.164611,119.50859
75.592935,-74.318191,30.269215
-36.960346,68.437995,60.497615
14.938383,5.9634163,120.08812
54.479818,4.6718495,114.4416
-15.948842,-14.605039,115.91815
-13.455916,38.757023,-94.947259
-12.795688,13.345038,-116.68105
102.07359,-3.9828891,63.329655
-24.703176,81.399007,0.80004645
-8.8823926,-39.009001,124.68655
22.215119,17.204741,116.38976
-34.516133,66.239351,-7.8655109
4.3496439,11.333094,134.57981
6.5693367,1.5549913,-27.303666
51.163029,-53.991226,-11.892067
-45.772262,-48.43654,23.726746
49.267227,43.51545,92.004401
36.421144,83.242428,46.495334
-20.138051,-31.619348,111.6675
-16.474991,-55.324169,67.619795
-52.309867,13.052474,100.25724
21.846189,-96.910427,66.44999
41.466174,25.505858,110.05253
-16.477068,-15.80644,114.85021
-31.678761,-26.601731,-111.78629
2.7622099,-12.296195,130.57105
49.616282,-28.466324,67.150673
25.030063,19.856129,-62.011459
70.07682,0.77716118,-80.43174
-50.127136,-34.3334,63.489972
26.39599,-46.179603,90.451727
58.369028,-40.816613,96.172866
-39.936241,-87.728317,18.032213
42.197108,29.26762,74.22095
-57.166732,37.765158,108.27065
-14.305672,7.0771007,127.0669
-53.211152,0.92656111,49.883075
-5.0602869,-40.827128,120.58561
22.852954,3.4575822,90.198064
-24.294713,-77.760893,-1.9941283
26.891445,18.758366,88.998022
-15.107306,41.477252,-105.44651
-29.554548,63.764493,81.78324
-17.683052,-32.038534,112.27081
63.202089,50.882857,64.244078
-42.884233,30.16408,98.364968
-50.374769,13.188475,100.93927
-52.194029,12.369324,101.61298
-53.515796,-3.6140698,-53.598009
-33.834643,74.913813,-17.750436
23.417042,18.291918,118.1434
37.674637,74.68861,28.873051
-24.630525,11.271909,122.27873
-5.3199691,-51.33822,117.64546
14.53483,14.192535,-91.014964
-41.848056,11.218301,115.2434
45.690129,-76.945579,84.791608
-25.767183,36.396607,109.7307
-62.841504,-39.899559,26.582291
7.4215321,-65.435896,-28.247973
22.60871,-77.774089,46.632168
-26.720323,-12.743214,-104.78128
-2.4853405,-22.348632,124.63627
-21.868813,-33.208905,115.47699
-52.087654,-66.134235,98.75898
-53.064089,-13.607653,80.952149
-49.72294,-16.006319,118.31389
27.380102,-4.2040765,92.606567
15.972857,78.234217,22.471927
-8.9276478,-64.853415,106.89304
0.43078445,-22.424925,15.022887
-2.538268,-63.006231,100.07924
-38.63594,99.904387,-9.9365768
2.5741759,-21.347062,24.779066
-64.962639,-72.120751,10.726872
-17.849623,-2.7218333,119.94151
9.7322205,15.406944,91.124154
-8.5636589,-70.627401,28.391714
-1.136122,38.260505,113.91343
-89.293877,15.067778,-66.187259
-29.097953,81.488173,51.627289
-101.96666,10.136676,2.6309623
-74.945767,35.189224,97.929442
76.446558,2.6676854,56.636648
-48.092831,84.331673,22.2507
-1.630002,2.0547757,120.3478
-95.801056,-9.6352117,88.142331
35.540583,-15.325695,-103.10535
30.142877,-1.1318324,63.495033
-2.7760693,-28.944263,70.042936
94.962303,12.446526,62.373943
-49.961965,-6.803142,87.972285
-0.55173443,41.990755,113.37449
13.242677,-58.89716,117.75288
-3.3733693,-16.937972,-20.384694
-10.609196,11.812055,112.79357
19.173821,89.37029,81.573936
74.772767,-41.225369,90.842377
-52.827541,7.7111959,-21.673786
84.257588,17.771279,-22.35058
-42.476234,28.456054,98.32272
43.03972,-106.34781,66.183796
20.978194,15.102945,80.064878
0.96934962,43.287277,111.19641
41.675172,-1.2380159,-10.055343
-40.003167,-39.587514,69.121315
-5.391456,-31.335419,115.8264
45.943406,-20.627006,115.68667
55.998751,16.767714,109.51901
-20.919405,-38.854232,80.211939
28.627092,50.853253,40.033684
8.1847943,46.244798,-69.614655
25.268692,91.749729,47.023943
76.310034,2.3373134,58.042034
59.969858,-43.066127,77.945556
0.10756894,43.113275,112.64425
-44.735534,31.602766,98.916794
27.864063,53.154254,114.06677
95.771796,-38.891271,11.900959
-27.471519,84.881709,-27.549429
-24.923347,34.828843,-97.926978
30.950745,18.103889,101.56194
-9.6874052,-68.982905,27.802667
-50.585943,63.901807,54.28503
-79.952582,26.006709,42.183355
48.907382,-33.633823,79.796779
17.76487,5.439415,119.4819
61.697322,-31.89762,-8.7157042
75.633941,67.336973,15.02046
-22.935811,-78.919478,-1.9779402
3.0893323,46.368581,110.82389
32.246591,47.821696,-38.278148
-25.411308,-62.091044,69.090274
-13.992773,-10.790417,105.14057
81.816894,31.664722,100.90475
